,Region,Location_coefficient,Scale_coefficient
0,Southern Asia,2.170337,2.0797136
1,Eastern Asia,1.9798462,2.2046082
2,Southern Europe,2.1458318,2.1443288
3,Western Europe,1.3806367,2.3711028
4,Northern Africa,1.7177876,2.7412345
5,South-Eastern Asia,2.2465003,1.8968376
6,Eastern Africa,1.9114357,1.853805
7,Northern Europe,1.0688896,2.097319
8,Western Africa,2.0461626,2.2559748
9,Western Asia,2.2539814,1.8396451
10,Eastern Europe,2.304838,2.0110674
11,Southern Africa,1.3890367,2.2167015
12,Middle Africa,1.6663324,2.3586004
13,Russian Federation,1.0507506,2.0644271
14,Central Asia,1.3188597,2.2494652
